,Unnamed: 0,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
25,112,U001,0200769623,WAL-MAR systems,2020-03-27 01:38:27.281250000,2020.0,1930632791.0,2020-03-10,2020-03-25,2020-03-10,NAH4,14994.01,0-15
26,113,U001,0200769623,WAL-MAR llc,2020-03-13 06:00:15.375000000,2020.0,1930617194.0,2020-03-06,2020-03-21,2020-03-06,NAH4,36.06,
27,131,U001,0200418007,AM in,2020-04-16 16:10:22.156250000,2020.0,1930752243.0,2020-04-06,2020-04-21,2020-04-06,NAA8,25836.19,
28,135,U001,0200739006,AL foundation,2020-04-28 19:33:28.179687500,2020.0,1930768064.0,2020-04-15,2020-04-30,2020-04-15,NAA8,4309.05,
29,137,U001,0100031704,DELHAIZE associates,2020-04-30 05:55:58.683593750,2020.0,1930789873.0,2020-04-15,2020-04-30,2020-04-15,NAA8,70181.07,0-15
30,138,U001,0200769623,WAL-MAR trust,2020-04-11 16:01:21.726562500,2020.0,1930705172.0,2020-03-28,2020-04-12,2020-03-28,NAH4,3403.8,
31,148,U001,0200744019,TARG systems,2020-05-15 15:33:41.781250000,2020.0,1930620634.0,2020-03-10,2020-05-14,2020-03-10,NAGD,10665.53,0-15
32,178,U001,0200769623,WAL-MAR ,2020-04-04 18:05:07.898437500,2020.0,1930676002.0,2020-03-21,2020-04-05,2020-03-21,NAH4,7280.51,
33,188,U001,0200726979,BJ'S  corporation,2020-03-14 04:21:51.750000000,2020.0,1930585378.0,2020-03-02,2020-03-17,2020-03-02,NAA8,13681.7,
34,193,U001,0200706844,WINC associates,2020-04-29 04:46:04.000000000,2020.0,1930773419.0,2020-04-07,2020-04-22,2020-04-07,NAA8,33947.85,0-15
35,197,U001,0200793830,M llc,2020-04-22 21:03:03.597656250,2020.0,1930767747.0,2020-04-08,2020-04-23,2020-04-08,NAA8,4537.14,
36,199,U001,0200769623,WAL-MAR foundation,2020-04-22 23:15:33.625000000,2020.0,1930750455.0,2020-04-06,2020-04-21,2020-04-06,NAH4,14355.96,0-15
37,200,U001,0200769623,WAL-MAR systems,2020-04-15 06:00:35.437500000,2020.0,1930738904.0,2020-04-03,2020-04-18,2020-04-03,NAH4,367.71,
38,203,U001,0200769623,WAL-MAR trust,2020-05-20 22:44:06.346191406,2020.0,1930862467.0,2020-05-06,2020-05-21,2020-05-06,NAH4,56284.77,
39,214,U001,0200769623,WAL-MAR systems,2020-03-13 13:53:37.578125000,2020.0,1930582162.0,2020-02-29,2020-03-15,2020-02-29,NAH4,50493.86,
40,215,U001,0200769623,WAL-MAR llc,2020-05-05 18:30:51.468750000,2020.0,1930802490.0,2020-04-21,2020-05-06,2020-04-21,NAH4,15489.43,
41,229,CA02,0140104423,METRO  llc,2020-03-21 17:50:35.812500000,2020.0,2960617050.0,2020-02-27,2020-03-11,2020-03-01,CA10,93179.35199999998,0-15
42,237,U001,0200726979,BJ'S  systems,2020-05-07 01:05:21.375000000,2020.0,1930801417.0,2020-04-19,2020-05-04,2020-04-19,NAA8,360.33,0-15
43,242,U001,0200743996,STATER  llc,2020-05-14 10:25:09.437500000,2020.0,1930660304.0,2020-03-16,2020-05-20,2020-03-16,NAGD,3826.03,
44,254,U001,0200752302,KROGER trust,2020-04-15 10:58:56.937500000,2020.0,1930733767.0,2020-04-02,2020-04-17,2020-04-02,NAA8,96674.05,
45,258,CA02,140105686,SYSC llc,2020-05-22 01:33:36.343750000,2020.0,2960633120.0,2020-05-06,2020-05-18,2020-05-08,CA10,43230.299,0-15
46,260,U001,0200711029,WEGMAN corp,2020-04-26 06:30:00.500000000,2020.0,1930742932.0,2020-04-03,2020-04-18,2020-04-03,NAA8,14382.22,0-15
47,264,CA02,CCU001,KRAFT  corporation,2020-05-07 08:30:02.687500000,2020.0,2960622220.0,2020-03-20,2020-04-27,2020-03-23,NAG2,17828.068999999996,0-15
48,265,U001,0200769623,WAL-MAR llc,2020-05-04 12:47:36.304687500,2020.0,1930804924.0,2020-04-21,2020-05-06,2020-04-21,NAH4,35509.95,
49,268,U001,0200769623,WAL-MAR associates,2020-04-19 11:00:15.457031250,2020.0,1930746955.0,2020-04-05,2020-04-20,2020-04-05,NAH4,13512.61,
50,272,U001,0200772670,ASSOCIAT corp,2020-04-09 06:35:35.562500000,2020.0,1930698156.0,2020-03-24,2020-04-08,2020-03-24,NAU5,24421.33,0-15
51,275,U001,0200769623,WAL-MAR co,2020-05-04 02:35:19.198242188,2020.0,1930801200.0,2020-04-19,2020-05-04,2020-04-19,NAH4,11217.33,0-15
52,277,U001,0200769623,WAL-MAR systems,2020-04-27 03:49:06.093750000,2020.0,1930776682.0,2020-04-13,2020-04-28,2020-04-13,NAH4,12554.13,
53,288,U001,0200720238,WOODM co,2020-05-22 13:59:35.765625000,2020.0,1930858727.0,2020-05-06,2020-05-21,2020-05-06,NAA8,126919.03,0-15
54,295,CA02,140106408,WAL-M in,2020-05-16 02:51:30.500000000,2020.0,2960631200.0,2020-04-25,2020-05-05,2020-04-25,CA10,28537.684,0-15
55,311,U001,0200769623,WAL-MAR us,2020-03-30 12:21:55.039062500,2020.0,1930653060.0,2020-03-15,2020-03-30,2020-03-15,NAH4,50202.83,0-15
56,312,U001,0200769623,WAL-MAR us,2020-04-14 16:40:42.968750000,2020.0,1930715979.0,2020-04-01,2020-04-16,2020-04-01,NAH4,8299.7,
57,314,U001,0200799367,MCL corporation,2020-04-09 05:22:13.828125000,2020.0,1930673430.0,2020-03-24,2020-04-08,2020-03-24,NAA8,51602.13,0-15
58,319,U001,0200759878,SA co,2020-05-01 15:08:18.718750000,2020.0,1930783249.0,2020-04-14,2020-04-29,2020-04-14,NAH4,18900.99,0-15
59,323,U001,0200794332,COST corp,2020-03-28 17:15:17.667968750,2020.0,1930638145.0,2020-03-14,2020-03-29,2020-03-14,NAAX,49467.7,
60,324,U001,0200515231,US  us,2020-04-26 20:30:08.953125000,2020.0,1930768145.0,2020-04-09,2020-04-24,2020-04-09,NAA8,10187.66,0-15
61,330,U001,0200782669,SYGMA corp,2020-03-27 12:40:31.792968750,2020.0,1930636977.0,2020-03-13,2020-03-28,2020-03-13,NAA8,237.4,
62,333,U001,200769623,WAL-MAR foundation,2020-05-26 05:29:26.453125000,2020.0,1930882979.0,2020-05-12,2020-05-27,2020-05-12,NAH4,11532.84,
63,340,U001,0200769623,WAL-MAR ,2020-04-07 09:32:17.437500000,2020.0,1930692833.0,2020-03-24,2020-04-08,2020-03-24,NAH4,20017.92,
64,362,U001,0200331749,SYSC foundation,2020-03-19 13:49:02.937500000,2020.0,1930579080.0,2020-02-28,2020-03-14,2020-02-28,NAA8,5320.85,0-15
65,363,U001,0200772670,ASSOCIAT associates,2020-05-09 13:26:24.125000000,2020.0,1930819529.0,2020-04-23,2020-05-08,2020-04-23,NAU5,30900.83,0-15
66,383,U001,0200772670,ASSOCIAT us,2020-04-15 21:53:56.140625000,2020.0,1930736164.0,2020-04-02,2020-04-17,2020-04-02,NAU5,65843.26,
67,396,U001,0200706844,WINC foundation,2020-03-22 22:57:16.875000000,2020.0,1930599854.0,2020-03-04,2020-03-19,2020-03-04,NAA8,359.44,0-15
68,399,U001,0100043975,JAVA ,2020-04-08 05:51:44.625000000,2020.0,1930740345.0,2020-04-03,2020-04-18,2020-04-03,NAA8,1427.36,
69,402,U001,0200762301,C&S WH in,2020-03-17 10:25:54.484375000,2020.0,1930592552.0,2020-03-04,2020-03-19,2020-03-04,NAC6,99091.71,
70,403,U001,0200148860,DOLLA associates,2020-06-01 00:13:56.000000000,2020.0,1930732920.0,2020-04-03,2020-06-07,2020-04-03,NAGD,6543.44,
71,411,CA02,0100027744,OMEGA AD in,2020-05-22 02:53:03.718750000,2020.0,2960635652.0,2020-05-19,2020-05-19,2020-05-19,CAB1,4924.5,0-15
72,419,U001,0100031704,DELHAIZE co,2020-03-16 06:29:09.216796875,2020.0,1930585468.0,2020-03-01,2020-03-16,2020-03-01,NAA8,106394.18,0-15
73,423,U001,0200799420,HT HA foundation,2020-04-08 16:25:26.769531250,2020.0,1930703225.0,2020-03-25,2020-04-09,2020-03-25,NAA8,801.1,
74,428,U001,0200974851,RESTA systems,2020-04-11 09:38:58.281250000,2020.0,1930706997.0,2020-03-26,2020-04-10,2020-03-26,NAA8,3566.69,0-15
75,433,U001,0200769623,WAL-MAR in,2020-05-12 13:34:40.191406250,2020.0,1930830709.0,2020-04-28,2020-05-13,2020-04-28,NAH4,8885.57,
76,440,U001,0200793568,SUPE llc,2020-03-30 20:40:46.375000000,2020.0,1930630388.0,2020-03-10,2020-03-25,2020-03-10,NAA8,15893.27,0-15
77,442,U001,0200759878,SA foundation,2020-03-22 17:19:45.984375000,2020.0,1930609945.0,2020-03-06,2020-03-21,2020-03-06,NAH4,70180.8,0-15
78,445,U001,0200712187,SPAR in,2020-05-04 21:40:39.596679688,2020.0,1930806222.0,2020-04-20,2020-05-05,2020-04-20,NAA8,119384.36,
79,446,U001,0100047532,KEYSTON associates,2020-03-19 08:05:38.714843750,2020.0,1930592834.0,2020-03-04,2020-03-19,2020-03-04,NAA8,11852.54,0-15
80,447,U001,0200794332,COST co,2020-03-21 21:03:49.593750000,2020.0,1930562584.0,2020-02-28,2020-03-19,2020-02-28,NA84,11225.42,0-15
81,454,U001,0200148860,DOLLA associates,2020-05-27 01:48:33.843750000,2020.0,1930699340.0,2020-03-25,2020-05-29,2020-03-25,NAGD,5456.75,
82,458,U001,200794332,COST llc,2020-05-22 14:30:03.644531250,2020.0,1930862420.0,2020-05-08,2020-05-23,2020-05-08,NAAX,81500.86,
83,468,U001,0200555117,BURR trust,2020-04-11 08:49:12.179687500,2020.0,1930709963.0,2020-03-27,2020-04-11,2020-03-27,NAA8,749.14,0-15
84,470,U001,200769623,WAL-MAR in,2020-05-20 13:30:35.343750000,2020.0,1930878284.0,2020-05-09,2020-05-24,2020-05-09,NAH4,2219.89,
85,471,U001,0200772670,ASSOCIAT corp,2020-04-06 01:55:09.859375000,2020.0,1930683241.0,2020-03-21,2020-04-05,2020-03-21,NAU5,15489.78,0-15
86,473,U001,200707822,PUBLI corporation,2020-05-20 19:44:37.703125000,2020.0,1930857983.0,2020-05-04,2020-05-19,2020-05-04,NAA8,126107.91,0-15
87,482,CA02,0140104392,FLANAG us,2020-03-21 01:18:14.718750000,2020.0,2960619205.0,2020-03-06,2020-03-20,2020-03-10,CA10,2528.673,0-15
88,486,U001,0200769623,WAL-MAR corp,2020-05-12 03:51:00.203125000,2020.0,1930831780.0,2020-04-28,2020-05-13,2020-04-28,NAH4,11545.38,
89,493,U001,0200759878,SA systems,2020-04-15 08:43:05.066406250,2020.0,1930717567.0,2020-03-31,2020-04-15,2020-03-31,NAH4,47646.57,0-15
90,498,U001,0200705742,DOT foundation,2020-03-09 18:00:00.500000000,2020.0,1930581678.0,2020-02-28,2020-03-14,2020-02-28,NAA8,5932.51,
91,502,U001,200793568,SUPE trust,2020-04-09 19:36:04.406250000,2020.0,1930690537.0,2020-03-23,2020-04-07,2020-03-23,NAA8,1635.76,0-15
92,511,U001,0200726979,BJ'S  ,2020-03-22 19:24:49.250000000,2020.0,1930646128.0,2020-03-12,2020-03-27,2020-03-12,NAA8,1286.3,
93,516,U001,0200704858,WAKE corp,2020-04-25 23:20:35.265625000,2020.0,1930762384.0,2020-04-09,2020-04-24,2020-04-09,NAA8,99568.42,0-15
94,519,U001,0200780383,MEIJ in,2020-04-05 07:28:01.875000000,2020.0,1930665025.0,2020-03-18,2020-04-02,2020-03-18,NAA8,3612.63,0-15
95,520,U001,0200762301,C&S WH associates,2020-04-25 05:55:35.718750000,2020.0,1930778021.0,2020-04-12,2020-04-27,2020-04-12,NAC6,102276.04,
96,522,CA02,0140106271,LONGO  in,2020-04-17 01:11:15.093750000,2020.0,2960626604.0,2020-04-03,2020-04-17,2020-04-07,CA10,8615.453,0-15
97,529,CA02,0140104423,METRO  us,2020-04-30 04:47:32.437500000,2020.0,2960628851.0,2020-04-17,2020-05-01,2020-04-21,CA10,45059.546,
98,531,U001,0200741174,M B  co,2020-04-01 15:57:51.812500000,2020.0,1930657267.0,2020-03-16,2020-03-31,2020-03-16,NAA8,5767.83,0-15
99,535,CA02,0100030194,AMAZO llc,2020-04-04 12:38:56.281250000,2020.0,2960622411.0,2020-03-18,2020-03-30,2020-03-20,CA10,9851.667,0-15
100,545,U001,0200769623,WAL-MAR trust,2020-04-12 13:53:37.578125000,2020.0,1930720012.0,2020-03-30,2020-04-14,2020-03-30,NAH4,42379.83,
101,559,U001,0200592182,DECA in,2020-05-05 16:11:24.937500000,2020.0,1930822583.0,2020-04-24,2020-05-09,2020-04-16,NAM4,1761.84,
102,571,U001,0200743996,STATER  co,2020-04-04 01:46:42.921875000,2020.0,1930686889.0,2020-03-22,2020-04-06,2020-03-22,NAA8,94612.03,
103,583,U001,0200769623,WAL-MAR in,2020-04-30 20:50:03.656250000,2020.0,1930787980.0,2020-04-15,2020-04-30,2020-04-15,NAH4,22226.35,0-15
104,587,U001,0200749782,KROG associates,2020-05-10 04:36:57.488281250,2020.0,1930822131.0,2020-04-25,2020-05-10,2020-04-25,NAA8,88502.01,0-15
105,596,U001,0200744019,TARG corp,2020-05-16 21:32:05.202148438,2020.0,1930641073.0,2020-03-13,2020-05-17,2020-03-13,NAGD,1982.06,
106,600,U001,0200769623,WAL-MAR foundation,2020-05-03 13:43:12.750000000,2020.0,1930804577.0,2020-04-21,2020-05-06,2020-04-21,NAH4,2326.08,
107,601,U001,0200705742,DOT us,2020-03-08 18:22:43.312500000,2020.0,1930592413.0,2020-03-02,2020-03-17,2020-03-02,NAA8,9822.38,
108,617,U001,0200744019,TARG trust,2020-05-24 01:23:46.437500000,2020.0,1930857489.0,2020-05-05,2020-05-20,2020-05-05,NAA8,29592.42,0-15
109,619,U001,0200772670,ASSOCIAT associates,2020-04-17 10:40:58.515625000,2020.0,1930739252.0,2020-04-03,2020-04-18,2020-04-03,NAU5,47903.76,
110,620,U001,0200769623,WAL-MAR corporation,2020-04-05 11:35:38.093750000,2020.0,1930692953.0,2020-03-24,2020-04-08,2020-03-24,NAH4,1898.9,
111,625,U001,0200900909,SYSCO in,2020-04-19 20:26:40.765625000,2020.0,1930741081.0,2020-04-03,2020-04-18,2020-04-03,NAA8,7524.17,0-15
112,627,U001,0200424504,M  in,2020-05-02 19:05:58.625000000,2020.0,1930830032.0,2020-04-28,2020-04-15,2020-04-15,NACG,2428.04,16-30
113,629,U001,0100031704,DELHAIZE trust,2020-06-20 19:14:02.000000000,2020.0,1930794735.0,2020-04-16,2020-06-20,2020-04-16,NAGD,1176.59,0-15
114,633,U001,0200764795,SYSCO  us,2020-04-21 00:21:53.484375000,2020.0,1930637455.0,2020-03-18,2020-04-19,2020-03-18,NA32,10978.51,0-15
115,644,U001,0200337148,COAS systems,2020-03-15 13:13:05.015625000,2020.0,1930587342.0,2020-03-02,2020-03-17,2020-03-02,NAA8,45127.79,
116,645,U001,0200416837,DEC llc,2020-03-17 08:56:37.625000000,2020.0,1930599382.0,2020-03-04,2020-03-24,2020-03-01,NAM4,398.16,
117,649,U001,0200769623,WAL-MAR llc,2020-03-23 21:10:17.782226562,2020.0,1930623646.0,2020-03-09,2020-03-24,2020-03-09,NAH4,58726.21,
118,650,U001,0200726979,BJ'S  associates,2020-03-24 04:51:33.312500000,2020.0,1930645815.0,2020-03-12,2020-03-27,2020-03-12,NAA8,588.49,
119,658,U001,0200721222,GO us,2020-05-04 11:19:06.300781250,2020.0,1930800642.0,2020-04-20,2020-05-05,2020-04-20,NAA8,25685.07,
120,662,U001,0200772595,SAFEW corporation,2020-04-17 19:01:15.812500000,2020.0,1930729101.0,2020-04-02,2020-04-17,2020-04-02,NAA8,10020.14,0-15
121,665,U001,0200820380,SMITH'S trust,2020-04-14 10:51:39.984375000,2020.0,1930716191.0,2020-03-30,2020-04-14,2020-03-30,NAA8,48022.97,0-15
122,668,U001,0200793568,SUPE corporation,2020-05-04 03:24:56.625000000,2020.0,1930779652.0,2020-04-14,2020-04-29,2020-04-14,NAA8,36623.03,0-15
123,672,U001,0100043975,JAVA co,2020-03-14 09:24:00.375000000,2020.0,1930586661.0,2020-03-02,2020-03-17,2020-03-02,NAA8,7212.0,
124,673,U001,0200769623,WAL-MAR llc,2020-04-08 18:59:54.820312500,2020.0,1930692548.0,2020-03-25,2020-04-09,2020-03-25,NAH4,15797.23,
125,681,U001,0200769623,WAL-MAR foundation,2020-03-20 23:15:33.625000000,2020.0,1930593446.0,2020-03-04,2020-03-19,2020-03-04,NAH4,14706.98,0-15
126,682,U001,0200729290,KROGER ,2020-03-17 18:54:17.109375000,2020.0,1930599215.0,2020-03-04,2020-03-19,2020-03-04,NAA8,115494.14,
127,685,U001,0200769623,WAL-MAR us,2020-05-09 22:51:27.687500000,2020.0,1930827122.0,2020-04-27,2020-05-12,2020-04-27,NAH4,1898.9,
128,687,U001,0200769623,WAL-MAR us,2020-04-22 01:39:45.250000000,2020.0,1930750644.0,2020-04-06,2020-04-21,2020-04-06,NAH4,37684.36,0-15
129,688,U001,0200705372,FR corporation,2020-03-27 05:52:14.007812500,2020.0,1930637990.0,2020-03-13,2020-03-28,2020-03-13,NAA8,19961.05,
130,698,U001,0200769623,WAL-MAR llc,2020-04-05 18:30:51.468750000,2020.0,1930675431.0,2020-03-22,2020-04-06,2020-03-22,NAH4,11826.09,
131,701,U001,0200742791,QUI in,2020-03-31 04:22:16.125000000,2020.0,1930603823.0,2020-03-10,2020-03-25,2020-03-10,NAA8,24843.48,0-15
132,703,U001,0200743996,STATER  corporation,2020-04-11 19:40:09.937500000,2020.0,1930718352.0,2020-03-30,2020-04-14,2020-03-30,NAA8,32224.05,
133,704,U001,0200769623,WAL-MAR us,2020-04-20 10:17:29.324218750,2020.0,1930752522.0,2020-04-06,2020-04-21,2020-04-06,NAH4,9937.06,
134,714,U001,0200759878,SA corporation,2020-04-23 18:12:57.804687500,2020.0,1930752430.0,2020-04-08,2020-04-23,2020-04-08,NAH4,12417.47,0-15
135,722,U001,0200762301,C&S WH us,2020-03-13 10:12:06.156250000,2020.0,1930584581.0,2020-03-02,2020-03-17,2020-03-02,NAC6,4301.57,
136,723,U001,200769623,WAL-MAR ,2020-05-28 14:59:51.187500000,2020.0,1930885637.0,2020-05-12,2020-05-27,2020-05-12,NAH4,22549.83,0-15
137,728,U001,0100043936,PAPA JO foundation,2020-03-20 17:06:30.726562500,2020.0,1930627707.0,2020-03-10,2020-03-20,2020-03-10,NA10,18145.19,0-15
138,731,U001,0200744019,TARG co,2020-04-23 02:41:53.218750000,2020.0,1930748869.0,2020-04-05,2020-04-20,2020-04-05,NAA8,97776.0,0-15
139,745,U001,0200740393,LABAT ,2020-03-19 18:36:37.187500000,2020.0,1930585380.0,2020-03-03,2020-03-18,2020-03-03,NAA8,52645.42,0-15
140,747,U001,0200769623,WAL-MAR systems,2020-04-02 17:49:11.453125000,2020.0,1930671465.0,2020-03-20,2020-04-04,2020-03-20,NAH4,21113.92,
141,753,U001,0200762301,C&S WH co,2020-03-12 20:27:51.371093750,2020.0,1930577119.0,2020-02-27,2020-03-13,2020-02-27,NAC6,137768.6,
142,758,U001,0200759878,SA in,2020-04-20 18:17:42.507812500,2020.0,1930748365.0,2020-04-05,2020-04-20,2020-04-05,NAH4,13548.66,0-15
143,759,U001,0200759878,SA corporation,2020-05-12 07:47:25.636718750,2020.0,1930825574.0,2020-04-27,2020-05-12,2020-04-27,NAH4,35898.48,0-15
144,762,U001,0200704858,WAKE llc,2020-03-30 15:24:40.458984375,2020.0,1930655118.0,2020-03-16,2020-03-31,2020-03-16,NAA8,109248.63,
145,777,U001,0200762301,C&S WH foundation,2020-04-01 08:33:46.015625000,2020.0,1930654407.0,2020-03-16,2020-03-31,2020-03-16,NAC6,7465.1,0-15
146,806,U001,0200803720,DEC corporation,2020-05-03 09:39:52.562500000,2020.0,1930872721.0,2020-05-07,2020-05-11,2020-05-01,NAM2,4729.18,
147,807,U001,0200078795,H T H llc,2020-05-14 18:43:13.031250000,2020.0,1930861108.0,2020-05-05,2020-05-20,2020-05-05,NAA8,1412.26,
148,812,U001,0200519201,KROGE llc,2020-04-15 03:39:36.093750000,2020.0,1930709582.0,2020-03-28,2020-04-12,2020-03-28,NAA8,15477.22,0-15
149,821,U001,0200744019,TARG corp,2020-04-25 23:15:27.906250000,2020.0,1930753198.0,2020-04-07,2020-04-22,2020-04-07,NAA8,19195.56,0-15
150,829,U001,0200786288,FAMILY in,2020-04-27 22:06:26.593750000,2020.0,1930759958.0,2020-04-08,2020-04-23,2020-04-08,NAC6,66230.48,0-15
151,830,U001,0200418007,AM systems,2020-04-16 01:51:33.742187500,2020.0,1930732102.0,2020-04-02,2020-04-17,2020-04-02,NAA8,47393.05,
152,832,U001,0200466603,SMITH'S systems,2020-04-03 04:55:02.046875000,2020.0,1930664246.0,2020-03-18,2020-04-02,2020-03-18,NAA8,142732.08,0-15
153,841,CA02,0140106408,WAL-M associates,2020-04-12 16:22:41.187500000,2020.0,2960622798.0,2020-03-23,2020-04-02,2020-03-23,CA10,5791.484999999999,0-15
154,842,U001,0200762301,C&S WH in,2020-06-04 08:40:50.359375000,2020.0,1930721389.0,2020-04-01,2020-06-05,2020-04-01,NAGD,7943.13,
155,845,U001,0200761734,H E BUT associates,2020-03-22 04:46:15.546875000,2020.0,1930632938.0,2020-03-10,2020-03-25,2020-03-10,NAA8,91756.55,
156,851,U001,0200769623,WAL-MAR foundation,2020-03-23 21:01:12.179687500,2020.0,1930611981.0,2020-03-08,2020-03-23,2020-03-08,NAH4,24282.42,0-15
157,854,U001,0200769623,WAL-MAR llc,2020-05-02 17:50:58.687500000,2020.0,1930793187.0,2020-04-18,2020-05-03,2020-04-18,NAH4,10903.6,
158,866,U001,200769623,WAL-MAR us,2020-04-07 03:37:44.062500000,2020.0,1930692727.0,2020-03-24,2020-04-08,2020-03-24,NAH4,51516.27,
159,867,U001,0200744019,TARG us,2020-05-09 02:33:50.281250000,2020.0,1930813045.0,2020-04-21,2020-05-06,2020-04-21,NAA8,5887.21,0-15
160,869,U001,0200726979,BJ'S  systems,2020-03-24 08:58:14.031250000,2020.0,1930643416.0,2020-03-12,2020-03-27,2020-03-12,NAA8,14149.02,
161,872,U001,0200706844,WINC co,2020-04-20 22:51:55.937500000,2020.0,1930760026.0,2020-03-31,2020-04-15,2020-03-31,NAA8,38905.5,0-15
162,889,U001,0200418007,AM us,2020-05-13 03:45:20.718750000,2020.0,1930650673.0,2020-03-14,2020-05-18,2020-03-14,NAGD,1011.24,
163,894,U001,0200799367,MCL in,2020-04-17 07:29:32.734375000,2020.0,1930720975.0,2020-03-31,2020-04-15,2020-03-31,NAA8,124605.44,0-15
164,898,U001,0200772595,SAFEW corporation,2020-04-09 08:48:16.261718750,2020.0,1930705040.0,2020-03-25,2020-04-09,2020-03-25,NAA8,32039.34,0-15
165,900,U001,CCU013,KRAFT F in,2020-04-09 10:08:50.500000000,2020.0,1930570370.0,2020-02-28,2020-02-28,2020-02-28,NAX2,37209.64,31-45
166,904,U001,0200726979,BJ'S  in,2020-03-20 14:49:05.281250000,2020.0,1930629390.0,2020-03-09,2020-03-24,2020-03-09,NAA8,467.72,
167,905,U001,0200526831,PERISH associates,2020-04-04 02:07:56.554687500,2020.0,1930666168.0,2020-03-19,2020-04-03,2020-03-19,NAA8,134095.09,0-15
